occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018
1411,"1411 -  Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning, nivå 1",41.8,44.6,37.7,4.4,5.2,3.1,789,471,318,92,96,95,..,94,92,97,96,89,93
1412,"1412 -  Rektorer, nivå 2",62.7,70.1,48.8,6.6,7.2,5.5,9117,5979,3138,98,97,97,98,98,98,98,98,99,98
1792,"1792 -  Chefer inom övrig servicenäring, nivå 2",67.7,100.8,46.8,7.7,10,6.3,4595,1775,2820,98,99,99,93,92,100,106,101,96,95
2145,2145 -  Civilingenjörsyrken inom kemi och kemiteknik,63.3,86.5,41.7,5.8,8.2,3.6,4501,2173,2328,94,92,90,92,93,94,92,90,91,93
2172,2172 -  Grafisk formgivare m.fl.,57.4,83.2,33.9,6,8.6,3.7,6082,2895,3187,89,93,..,96,96,90,92,91,97,96
2211,2211 -  Specialistläkare,74.3,99.4,50.3,8,11.6,4.6,20413,9969,10444,91,90,94,93,95,92,90,94,94,94
2319,2319 -  Övriga universitets- och högskollärare,60.3,84.2,32.1,7.6,10.1,4.6,6848,3704,3144,96,96,95,96,96,96,95,95,95,96
2431,2431 -  Marknadsanalytiker och marknadsförare m.fl.,51.8,71,34.7,4.8,7,3,17651,8342,9309,90,83,89,92,89,87,81,88,91,87
2642,2642 -  Journalister m.fl.,75.6,102.6,47,7.7,10.8,4.4,9432,4856,4576,95,96,98,97,100,94,95,99,96,99
3117,3117 -  GIS- och kartingenjörer,92.7,126.2,69.1,9.1,12.1,7,1952,808,1144,97,103,98,98,97,98,104,98,97,97
3323,3323 -  Inköpare och upphandlare,59.3,80.7,43.4,5.5,7.4,4.2,16940,7199,9741,94,93,95,96,95,92,90,92,95,95
3339,3339 -  Övriga förmedlare,70,90.7,53.9,8.5,11.8,6,2684,1180,1504,..,..,..,..,..,103,93,101,97,88
3411,3411 -  Behandlingsassistenter och socialpedagoger m.fl.,153.1,183.5,111,14.8,18.2,10.3,23365,13566,9799,101,99,99,99,100,101,100,100,100,101
8131,"8131 -  Maskinoperatörer, farmaceutiska produkter",136.5,176,99.1,12,17.1,7.2,3393,1648,1745,92,94,95,96,97,93,94,95,96,97
8159,"8159 -  Övriga maskinoperatörer, textil-, skinn- och läderindustri",140.7,177.2,102.8,11.6,16.1,6.8,2140,1089,1051,90,92,..,95,94,90,92,89,94,93
8161,"8161 -  Maskinoperatörer, kött- och fiskberedningsindustri",136.5,181.4,107.9,10.6,13.6,8.7,4477,1742,2735,..,..,..,95,97,95,96,97,97,96
2163,2163 -  Planeringsarkitekter m.fl.,81.7,109.9,39.7,8.6,10.6,5.7,2889,1729,1160,90,96,96,100,98,85,93,94,95,97
2412,2412 -  Controller,44.3,60.3,25.9,4.2,5.7,2.4,10062,5393,4669,89,89,88,91,90,89,89,88,91,88
2614,2614 -  Affärs- och företagsjurister,42.4,57.6,25.3,3.9,5.4,2.1,5004,2637,2367,91,90,92,90,98,84,84,91,86,94
3215,3215 -  Laboratorieingenjörer,69.5,92.2,44.1,5.9,8.2,3.3,8292,4373,3919,93,87,92,93,94,95,86,93,93,94
3332,3332 -  Evenemangs- och reseproducenter m.fl.,64.9,71,55.6,6.7,8.1,4.6,1680,1014,666,..,..,..,..,..,101,107,91,85,84
3423,3423 -  Fritidsledare m.fl.,114.8,141.9,77.9,12.2,15.6,7.6,13366,7715,5651,99,97,98,99,100,101,98,99,102,103
5131,5131 -  Hovmästare och servitörer,72.6,84.3,52.7,6,6.9,4.6,14682,9270,5412,..,99,..,96,98,94,97,96,95,96
5169,5169 -  Övrig servicepersonal,76.4,98.8,58.2,7.3,10.5,4.8,1871,840,1031,..,..,..,94,..,..,103,103,92,114
5225,5225 -  Bensinstationspersonal,77.4,97.1,49.7,8.1,10.1,5.2,3487,2039,1448,..,..,..,..,..,101,94,104,89,102
5341,5341 -  Skötare,156,187.7,105.4,15.9,18.9,11.2,15844,9741,6103,98,98,98,99,99,99,98,99,99,99
